"user id"," handle"," count"
"john","unknown","61"
"charles","unknown","70"
"jeff","unknown","50"
"ryan","unknown","24"
"hubanks","unknown","113"
"taylor","unknown","98"
"leah","unknown","162"
"rebecca","unknown","9"
"vanna","unknown","71"
"ambermarkey","unknown","81"
"melissa","unknown","64"
"greg","unknown","126"
"ben","unknown","36"
"eric.hoffman","unknown","18"
"justin","unknown","35"
"sam","unknown","36"
"jim","unknown","31"
"anna","unknown","27"
"david","unknown","60"
"meaghan","unknown","27"
"kevin","unknown","56"
"ejodonohoe","unknown","31"
"olivier","unknown","27"
"meredith","unknown","67"
"ian","unknown","94"
"ruby","unknown","67"
"jesika","unknown","22"
"mikelohmeier","unknown","71"
"river","unknown","46"
"antara","unknown","78"
"ken.buroker","unknown","1"
"chris","unknown","97"
"ki","unknown","53"
"joshua","unknown","11"
"amy","unknown","21"
"chris.yu","unknown","31"
"anurati","unknown","57"
"joef","unknown","44"
"dmitry","unknown","105"
"kelly","unknown","63"
"anita","unknown","2"
"lauren","unknown","72"
"sarah","unknown","26"
"jimmi","unknown","8"
"chase","unknown","34"
"scott.smith","unknown","61"
"jasongrosz","unknown","27"
"nelson.fernandez","unknown","46"
"chelseafpc","unknown","3"
"gloria","unknown","58"
"vince","unknown","67"
"melissakim","unknown","35"
"samantha","unknown","48"
"edith","unknown","57"
"jonathan","unknown","49"
"molly","unknown","60"
"tuffli","unknown","81"
"shannon","unknown","90"
"jayhughes","unknown","34"
"jason","unknown","36"
"deb","unknown","32"
"dbogen","unknown","16"
"eleanor","unknown","20"
"tony.clark","unknown","34"
"annie","unknown","21"
"bhubele_fpc","unknown","1"
"erica","unknown","29"
"maidenberg","unknown","12"
"joe","unknown","43"
"inger","unknown","18"
"tahiya","unknown","19"
"dianekaye","unknown","10"
"prb","unknown","9"
"aude","unknown","15"
"elkhunter799","unknown","2"
"casey_bollig","unknown","2"
"soup","unknown","34"
"dunks","unknown","13"
"solomon","unknown","54"
"lorcharlie","unknown","24"
"jennifer","unknown","24"
"naber","unknown","10"
"lucas","unknown","66"
"connor","unknown","33"
"brad","unknown","8"
"sharijudy-kenefick","unknown","5"
"mark","unknown","8"
"andrew","unknown","11"
"skye","unknown","6"
"dianachang","unknown","8"
"leahroe","unknown","1"
"justinemarcus","unknown","6"
"derek_schindhelm","unknown","4"
"jacque","unknown","6"
"carter","unknown","11"
"robert.floyd","unknown","3"
"dhill","unknown","2"
"hytham","unknown","9"
"sean","unknown","14"
"jack.michuda","unknown","16"
"paige","unknown","17"
"joek","unknown","4"
"susanhealy","unknown","3"
"pete-itsupport","unknown","3"
"gkurtzman","unknown","1"
"veronica","unknown","1"
