"user id"," handle"," count"
"U024JM990","david","77"
"U02RKH9MD","jeff","34"
"U0265DB9Z","jacque","6"
"U02CZ56CE","charles","75"
"U02H1NV68","ki","16"
"U02ATL4FX","river","54"
"U03SFJV6P","lauren","19"
"U024KQ3Q7","john","47"
"U0256MFQF","mikelohmeier","74"
"U02DA0HEH","chris","47"
"U0557G6CB","gloria","56"
"U024RF9GX","ben","23"
"U0HRG2GNS","anna","3"
"U02KQ60T3","anurati","26"
"U02AU8F33","antara","60"
"U024JLC01","greg","82"
"U030SDTRT","dmitry","21"
"U042EKF3V","chase","70"
"U024L794X","hubanks","25"
"U040SFXLF","naber","18"
"U024RDS6V","ruby","55"
"U0NGZQ8TA","deb","10"
"U024K1ES1","meaghan","31"
"U02A4MVC9","justin","46"
"U024RM3JY","mark","12"
"U024S151Z","eric.hoffman","9"
"U04L3JN1R","joe","7"
"U02LGJTNQ","ambermarkey","20"
"U02UPQ6QA","joef","8"
"U02FFMKSA","vanna","35"
"U02C30RBR","sam","15"
"U024RCPTH","dhill","4"
"U02JZ0DL0","chris.yu","8"
"U024SSGTS","leah","36"
"U024LNQDH","ian","13"
"U024SHZ2W","taylor","4"
"U087AKRBJ","jim","19"
"U06LZ3DF1","samantha","4"
"U09TKR546","jonathan","18"
"U197G0PPH","lucas","1"
"U0EKE3P89","shannon","31"
"U06LNDZ6Z","melissakim","14"
"U03QD0N3J","melissa","5"
"U02QKEUJM","skye","6"
"U024L7M9S","olivier","5"
"U0G3BG7HQ","jayhughes","4"
"U0PN1LFHR","dbogen","22"
"U03C6MPB4","connor","1"
"U09TN5JQZ","molly","4"
"U024K1G7Z","kevin","10"
"U024RMFT8","jesika","8"
"U024K25CY","justinemarcus","5"
"U024RK458","tahiya","6"
"U02HF90Q9","prb","4"
"U03SWRL6M","sarah","6"
"U024L7V7F","erica","2"
"U1Z85QV4H","soup","2"
"U0MDCL9AS","jason","4"
"U025LMCHT","maidenberg","1"
"U02J2DNPL","amy","4"
"U03FBBDR5","kelly","4"
"U024L5T35","ejodonohoe","4"
"U06EE7LUC","meekan","1"
"U024LDYHL","meredith","1"
"U087AQUF7","edith","2"
"U0418RF2C","jimmi","2"
"U0D72CZ1V","solomon","10"
"U0E2XBAMP","tuffli","4"
"U0558P307","vince","2"
"U025Q3X8F","dianekaye","2"
"U0N6M9A20","carter","1"
"U02CZFY16","andrew","2"
"U043REQPY","scott.smith","1"
