"user id"," handle"," count"
"david","unknown","33"
"greg","unknown","76"
"meredith","unknown","10"
"kevin","unknown","13"
"melissakim","unknown","9"
"ian","unknown","6"
"jeff","unknown","13"
"hubanks","unknown","40"
"ruby","unknown","5"
"justin","unknown","5"
"sarah","unknown","2"
"shannon","unknown","6"
"nelson.fernandez","unknown","1"
"john","unknown","4"
"river","unknown","3"
"antara","unknown","17"
"dmitry","unknown","16"
"ejodonohoe","unknown","1"
"molly","unknown","4"
"vince","unknown","8"
"justinemarcus","unknown","1"
"chase","unknown","13"
"erica","unknown","8"
"leah","unknown","23"
"chris","unknown","18"
"lauren","unknown","3"
"eleanor","unknown","1"
"chris.yu","unknown","2"
"tuffli","unknown","6"
"anurati","unknown","9"
"ambermarkey","unknown","4"
"lucas","unknown","4"
"meaghan","unknown","4"
"mikelohmeier","unknown","19"
"joshua","unknown","2"
"ben","unknown","1"
"paige","unknown","1"
"brad","unknown","1"
"dbogen","unknown","3"
"gloria","unknown","4"
"naber","unknown","1"
"hytham","unknown","3"
"vanna","unknown","2"
"deb","unknown","7"
"dianekaye","unknown","1"
"charles","unknown","5"
"taylor","unknown","4"
"inger","unknown","2"
"kelly","unknown","1"
"tony.clark","unknown","3"
"scott.smith","unknown","2"
"sam","unknown","2"
"joe","unknown","1"
"maidenberg","unknown","2"
"jason","unknown","2"
"melissa","unknown","1"
"jonathan","unknown","1"
"soup","unknown","3"
"jayhughes","unknown","1"
"jimmi","unknown","1"
