"user id"," handle"," count"
"U024JM990","david","198"
"U0558P307","vince","93"
"U024LDYHL","meredith","96"
"U03FBBDR5","kelly","81"
"U024JLC01","greg","296"
"U02AU8F33","antara","169"
"U024RDS6V","ruby","139"
"U024KQ3Q7","john","129"
"U024L5T35","ejodonohoe","62"
"U024L7V7F","erica","62"
"U024K1ES1","meaghan","74"
"U024SSGTS","leah","265"
"U024RMFT8","jesika","42"
"U0265DB9Z","jacque","19"
"U024K1G7Z","kevin","116"
"U024RAF0F","sharijudy-kenefick","8"
"U024LNQDH","ian","150"
"U024RK458","tahiya","36"
"U024K25CY","justinemarcus","16"
"U024L794X","hubanks","180"
"U024L7M9S","olivier","50"
"U02BBBA3Y","rebecca","14"
"U0256MFQF","mikelohmeier","179"
"U02CZ56CE","charles","164"
"U02DA0HEH","chris","196"
"U02ATL4FX","river","116"
"U02KQ60T3","anurati","104"
"U02H1NV68","ki","89"
"U02RKH9MD","jeff","101"
"U043REQPY","scott.smith","82"
"U03SFJV6P","lauren","112"
"U03QD0N3J","melissa","83"
"U06LZ3DF1","samantha","59"
"U0557G6CB","gloria","139"
"U06LNDZ6Z","melissakim","68"
"U087AQUF7","edith","82"
"U0E2XBAMP","tuffli","98"
"U030SDTRT","dmitry","157"
"U02HF90Q9","prb","17"
"U024S151Z","eric.hoffman","37"
"U024RF9GX","ben","70"
"U02LGJTNQ","ambermarkey","130"
"U0HRG2GNS","anna","31"
"U0G3BG7HQ","jayhughes","45"
"U0NGZQ8TA","deb","48"
"U1B2V3RD2","tony.clark","36"
"U040SFXLF","naber","30"
"U02HWD5M7","joshua","17"
"U03FEAFG3","anita","3"
"U024SHZ2W","taylor","136"
"U02UPQ6QA","joef","75"
"U042EKF3V","chase","126"
"U02FFMKSA","vanna","130"
"U1QK8MMJL","ryan","25"
"U02J2DNPL","amy","35"
"U04L3JN1R","joe","69"
"U0D72CZ1V","solomon","75"
"U087AKRBJ","jim","62"
"U04NW2QLP","nelson.fernandez","61"
"U02JZ0DL0","chris.yu","55"
"U03SWRL6M","sarah","40"
"U02A4MVC9","justin","93"
"U09TN5JQZ","molly","76"
"U02C30RBR","sam","59"
"U047L83SQ","jasongrosz","37"
"U0418RF2C","jimmi","12"
"U02D89VHY","ken.buroker","3"
"U024RM3JY","mark","24"
"U0MDCL9AS","jason","44"
"U0EKE3P89","shannon","129"
"U0PN1LFHR","dbogen","40"
"U15CCLRS9","eleanor","21"
"U09TKR546","jonathan","76"
"U1UTL75E0","annie","21"
"U0550NSFA","chelseafpc","3"
"U25NYK7MF","bhubele_fpc","1"
"U025LMCHT","maidenberg","23"
"U024RDA0D","inger","21"
"U025Q3X8F","dianekaye","17"
"U27DCTVC2","aude","15"
"U2H1ZT1QR","elkhunter799","2"
"U024RU2KB","derek_schindhelm","6"
"U024RCPTH","dhill","7"
"U2H5PDJ3E","casey_bollig","2"
"U1Z85QV4H","soup","37"
"U2D12S4KU","dunks","13"
"U25694KAL","lorcharlie","25"
"U197G0PPH","lucas","71"
"U02CZFY16","andrew","20"
"U02DLSL4B","brad","16"
"U0G817TDZ","jennifer","24"
"U02QKEUJM","skye","12"
"U03C6MPB4","connor","36"
"U1Z9731M4","dianachang","8"
"U055W3E21","leahroe","1"
"U0N6M9A20","carter","13"
"U0CHET82W","robert.floyd","3"
"U024STHR7","hytham","12"
"U177F0ZGT","sean","14"
"U195ZPQ7M","jack.michuda","16"
"U11SZKW3E","paige","17"
"U024RCSUV","joek","6"
"U04L3L4LV","susanhealy","3"
"U051YKBKG","pete-itsupport","3"
"U06EE7LUC","meekan","1"
"U079GEZEH","gkurtzman","1"
"U03EAFJE5","veronica","1"
