"user id"," handle"," count"
"U03SFJV6P","lauren","1"
"U0PN1LFHR","dbogen","2"
"U02A4MVC9","justin","3"
"U0EKE3P89","shannon","5"
"U02FFMKSA","vanna","3"
"U024RMFT8","jesika","2"
"U09TKR546","jonathan","3"
"U02H1NV68","ki","1"
"U024JLC01","greg","13"
"U0MDCL9AS","jason","2"
"U024SSGTS","leah","2"
"U042EKF3V","chase","2"
"U0256MFQF","mikelohmeier","5"
"U024KQ3Q7","john","2"
"U024K1ES1","meaghan","1"
"U0558P307","vince","3"
"U030SDTRT","dmitry","4"
"U024K1G7Z","kevin","1"
"U024JM990","david","4"
"U06LZ3DF1","samantha","1"
"U024LNQDH","ian","1"
"U04L3JN1R","joe","2"
"U024L794X","hubanks","6"
"U024LDYHL","meredith","3"
"U06LNDZ6Z","melissakim","1"
"U02AU8F33","antara","1"
"U25694KAL","lorcharlie","1"
"U11SZKW3E","paige","1"
"U024RDS6V","ruby","1"
"U0HRG2GNS","anna","1"
"U1QK8MMJL","ryan","1"
"U02CZ56CE","charles","1"
"U02LGJTNQ","ambermarkey","1"
