"user id"," handle"," count"
"U024K25CY","justinemarcus","3"
"U024LDYHL","meredith","154"
"U024L5T35","ejodonohoe","30"
"U024L7M9S","olivier","15"
"U024K1G7Z","kevin","61"
"U024JM990","david","174"
"undefined","unknown","1024"
"U024L7V7F","erica","98"
"U02KQ60T3","anurati","353"
"U024JLC01","greg","242"
"U024SSGTS","leah","182"
"U024S151Z","eric.hoffman","26"
"U03SFJV6P","lauren","30"
"U06LNDZ6Z","melissakim","302"
"U043REQPY","scott.smith","30"
"U030SDTRT","dmitry","264"
"U040SFXLF","naber","12"
"U0256MFQF","mikelohmeier","174"
"U02DA0HEH","chris","490"
"U024LNQDH","ian","77"
"U02UPQ6QA","joef","55"
"U024K1ES1","meaghan","87"
"U02J2DNPL","amy","39"
"U03FBBDR5","kelly","33"
"U02JZ0DL0","chris.yu","24"
"U024RF9GX","ben","29"
"U02A4MVC9","justin","184"
"U024L794X","hubanks","305"
"U0MDCL9AS","jason","21"
"U024RDS6V","ruby","207"
"U03SWRL6M","sarah","22"
"U02LGJTNQ","ambermarkey","70"
"U0550NSFA","chelseafpc","5"
"U04L3JN1R","joe","127"
"U0NGZQ8TA","deb","26"
"U024RMFT8","jesika","18"
"U02C30RBR","sam","50"
"U0EKE3P89","shannon","210"
"U03QD0N3J","melissa","12"
"U02ATL4FX","river","124"
"U02CZ56CE","charles","158"
"U024KQ3Q7","john","86"
"U09TN5JQZ","molly","101"
"U02AU8F33","antara","65"
"U0E2XBAMP","tuffli","393"
"U02H1NV68","ki","179"
"U0G3BG7HQ","jayhughes","2"
"U0557G6CB","gloria","56"
"U0558P307","vince","12"
"U024SHZ2W","taylor","32"
"U1B2V3RD2","tony.clark","10"
"U042EKF3V","chase","193"
"U197G0PPH","lucas","21"
"U09TKR546","jonathan","47"
"U02FFMKSA","vanna","39"
"U15CCLRS9","eleanor","21"
"U025LMCHT","maidenberg","21"
"U06LZ3DF1","samantha","66"
"U04NW2QLP","nelson.fernandez","25"
"U024STHR7","hytham","13"
"U087AKRBJ","jim","33"
"U1Z85QV4H","soup","10"
"U0PN1LFHR","dbogen","4"
"U0D72CZ1V","solomon","7"
"U087AQUF7","edith","7"
"U025Q3X8F","dianekaye","2"
"U024RK458","tahiya","3"
"U047L83SQ","jasongrosz","12"
"U02RKH9MD","jeff","35"
"U02HWD5M7","joshua","10"
"U024RM3JY","mark","25"
"U024RAF0F","sharijudy-kenefick","1"
"U0265DB9Z","jacque","5"
"U02CZFY16","andrew","1"
"U03EAFJE5","veronica","23"
"U11SZKW3E","paige","3"
"U1QK8MMJL","ryan","5"
"U0HRG2GNS","anna","2"
"U177F0ZGT","sean","1"
"U1UTL75E0","annie","1"
"U02DLSL4B","brad","1"
