"user id"," handle"," count"
"U024KQ3Q7","john","31"
"U024L794X","hubanks","14"
"U024RF9GX","ben","8"
"U024SSGTS","leah","14"
"U0MDCL9AS","jason","13"
"U02LGJTNQ","ambermarkey","8"
"U02A4MVC9","justin","25"
"U02DA0HEH","chris","18"
"U02AU8F33","antara","9"
"U03SFJV6P","lauren","6"
"U0EKE3P89","shannon","20"
"U09TN5JQZ","molly","7"
"U0558P307","vince","2"
"U024RMFT8","jesika","3"
"U0256MFQF","mikelohmeier","47"
"U024JM990","david","6"
"U02KQ60T3","anurati","4"
"U02FFMKSA","vanna","5"
"U087AQUF7","edith","1"
"U0NGZQ8TA","deb","2"
"U197G0PPH","lucas","10"
"U02RKH9MD","jeff","6"
"U09TKR546","jonathan","18"
"U06LZ3DF1","samantha","7"
"U024JLC01","greg","17"
"U024LNQDH","ian","19"
"U0D72CZ1V","solomon","7"
"U0PN1LFHR","dbogen","4"
"U024SHZ2W","taylor","5"
"U02ATL4FX","river","8"
"U087AKRBJ","jim","13"
"U030SDTRT","dmitry","11"
"USLACKBOT","unknown","3"
"U02UPQ6QA","joef","6"
"U02C30RBR","sam","15"
"U02CZ56CE","charles","10"
"U1QK8MMJL","ryan","1"
"U03SWRL6M","sarah","3"
"U047L83SQ","jasongrosz","5"
"U02H1NV68","ki","8"
"U03EAFJE5","veronica","2"
"U1Z85QV4H","soup","7"
"U024RDS6V","ruby","8"
"U06LNDZ6Z","melissakim","9"
"U042EKF3V","chase","9"
"U043REQPY","scott.smith","2"
"U04NW2QLP","nelson.fernandez","3"
"U03FBBDR5","kelly","1"
"U024LDYHL","meredith","2"
"U0E2XBAMP","tuffli","2"
"U04L3JN1R","joe","3"
"U03QD0N3J","melissa","1"
"U1UTL75E0","annie","1"
