"user id"," handle"," count"
"U024L7V7F","erica","290"
"U024LDYHL","meredith","80"
"U024JM990","david","386"
"U024L5T35","ejodonohoe","48"
"U024L7M9S","olivier","9"
"U0256MFQF","mikelohmeier","325"
"U024K1G7Z","kevin","55"
"U02DA0HEH","chris","428"
"U06LNDZ6Z","melissakim","256"
"U02HWD5M7","joshua","38"
"U040SFXLF","naber","16"
"U024LNQDH","ian","346"
"U02KQ60T3","anurati","187"
"U030SDTRT","dmitry","154"
"U024JLC01","greg","289"
"U02C30RBR","sam","40"
"U02A4MVC9","justin","46"
"U024L794X","hubanks","139"
"U024RF9GX","ben","30"
"U03SWRL6M","sarah","18"
"U0EKE3P89","shannon","81"
"U042EKF3V","chase","165"
"U04L3JN1R","joe","140"
"U024RDS6V","ruby","85"
"U02LGJTNQ","ambermarkey","42"
"U02UPQ6QA","joef","85"
"U03FBBDR5","kelly","22"
"U03SFJV6P","lauren","5"
"U02CZ56CE","charles","222"
"U02ATL4FX","river","94"
"U1Z85QV4H","soup","18"
"U02H1NV68","ki","111"
"U0558P307","vince","27"
"U02AU8F33","antara","22"
"U09TN5JQZ","molly","25"
"U043REQPY","scott.smith","79"
"U024RMFT8","jesika","2"
"U0MDCL9AS","jason","40"
"U024RM3JY","mark","30"
"U02J2DNPL","amy","11"
"U0557G6CB","gloria","34"
"U0E2XBAMP","tuffli","30"
"U024KQ3Q7","john","218"
"U197G0PPH","lucas","9"
"U0NGZQ8TA","deb","20"
"U1B2V3RD2","tony.clark","4"
"U024SSGTS","leah","39"
"U02FFMKSA","vanna","21"
"U02RKH9MD","jeff","129"
"U024RCPTH","dhill","6"
"U024STHR7","hytham","54"
"U024RK458","tahiya","6"
"U02HF90Q9","prb","2"
"U09TKR546","jonathan","54"
"U0PN1LFHR","dbogen","26"
"U0D72CZ1V","solomon","40"
"U087AKRBJ","jim","14"
"U047L83SQ","jasongrosz","60"
"U025LMCHT","maidenberg","18"
"U02CZFY16","andrew","4"
"U0265DB9Z","jacque","20"
"U024K1ES1","meaghan","36"
"U03C6MPB4","connor","6"
"U024K25CY","justinemarcus","5"
"U024RDA0D","inger","7"
"U024RU2KB","derek_schindhelm","1"
"U025Q3X8F","dianekaye","3"
"U02JZ0DL0","chris.yu","12"
"U04L3L4LV","susanhealy","1"
"U04NW2QLP","nelson.fernandez","22"
"U195ZPQ7M","jack.michuda","1"
"U03EAFJE5","veronica","33"
"U03FEAFG3","anita","1"
"U03QD0N3J","melissa","4"
"U06LZ3DF1","samantha","16"
"U024SHZ2W","taylor","10"
"U0418RF2C","jimmi","2"
"U177F0ZGT","sean","1"
"U1UTL75E0","annie","7"
"USLACKBOT","unknown","6"
"U1QK8MMJL","ryan","1"
"U087AQUF7","edith","4"
"U11SZKW3E","paige","1"
"U024S151Z","eric.hoffman","1"
