"user id"," handle"," count"
"U024LDYHL","meredith","695"
"U024L7V7F","erica","219"
"U024L7M9S","olivier","205"
"U024L5T35","ejodonohoe","290"
"U024K1G7Z","kevin","712"
"U024LNQDH","ian","1155"
"U024RK458","tahiya","32"
"U024RDS6V","ruby","1095"
"U024JM990","david","945"
"U024JLC01","greg","1919"
"U0256MFQF","mikelohmeier","1499"
"U02BBBA3Y","rebecca","9"
"U02DA0HEH","chris","1793"
"U024KQ3Q7","john","929"
"U02ATL4FX","river","727"
"U02UPQ6QA","joef","546"
"U03FBBDR5","kelly","363"
"U02KQ60T3","anurati","662"
"U0557G6CB","gloria","414"
"U0558P307","vince","873"
"U02H1NV68","ki","658"
"U024L794X","hubanks","1178"
"U030SDTRT","dmitry","1418"
"U024SSGTS","leah","1167"
"U024S151Z","eric.hoffman","306"
"U024RF9GX","ben","483"
"U02LGJTNQ","ambermarkey","611"
"U03SFJV6P","lauren","531"
"U06LNDZ6Z","melissakim","684"
"U02AU8F33","antara","1758"
"U0NGZQ8TA","deb","291"
"U0G3BG7HQ","jayhughes","414"
"U043REQPY","scott.smith","404"
"U1B2V3RD2","tony.clark","148"
"U040SFXLF","naber","103"
"U02HWD5M7","joshua","58"
"U03FEAFG3","anita","9"
"U024K1ES1","meaghan","300"
"U02RKH9MD","jeff","334"
"U02CZ56CE","charles","920"
"U06LZ3DF1","samantha","341"
"U03QD0N3J","melissa","492"
"U1QK8MMJL","ryan","74"
"U02J2DNPL","amy","284"
"U04L3JN1R","joe","355"
"U04NW2QLP","nelson.fernandez","461"
"U02C30RBR","sam","342"
"U02A4MVC9","justin","494"
"U02JZ0DL0","chris.yu","190"
"U03SWRL6M","sarah","217"
"U087AKRBJ","jim","380"
"U024RMFT8","jesika","390"
"U047L83SQ","jasongrosz","197"
"U02FFMKSA","vanna","814"
"U09TKR546","jonathan","358"
"U0MDCL9AS","jason","169"
"U09TN5JQZ","molly","660"
"U0EKE3P89","shannon","876"
"U0PN1LFHR","dbogen","104"
"U042EKF3V","chase","580"
"U0550NSFA","chelseafpc","32"
"U024SHZ2W","taylor","608"
"U25NYK7MF","bhubele_fpc","12"
"U0E2XBAMP","tuffli","631"
"U024RCPTH","dhill","6"
"U024RDA0D","inger","35"
"U025Q3X8F","dianekaye","53"
"U0HRG2GNS","anna","48"
"U02HF90Q9","prb","44"
"U2H1ZT1QR","elkhunter799","4"
"U2H5PDJ3E","casey_bollig","8"
"U1Z85QV4H","soup","39"
"U2D12S4KU","dunks","8"
"U025LMCHT","maidenberg","51"
"U02DLSL4B","brad","32"
"U087AQUF7","edith","239"
"U0G817TDZ","jennifer","86"
"U0D72CZ1V","solomon","291"
"U02QKEUJM","skye","28"
"U024K25CY","justinemarcus","24"
"U197G0PPH","lucas","167"
"U03C6MPB4","connor","105"
"U024RM3JY","mark","56"
"U1Z9731M4","dianachang","27"
"U25694KAL","lorcharlie","29"
"U15CCLRS9","eleanor","95"
"U055W3E21","leahroe","1"
"USLACKBOT","unknown","8"
"U0265DB9Z","jacque","74"
"U02D89VHY","ken.buroker","4"
"U1UTL75E0","annie","22"
"U0CHET82W","robert.floyd","1"
"U024STHR7","hytham","24"
"U0418RF2C","jimmi","41"
"U27DCTVC2","aude","15"
"U11SZKW3E","paige","24"
"U195ZPQ7M","jack.michuda","10"
"U177F0ZGT","sean","30"
"U02CZFY16","andrew","28"
"U024RU2KB","derek_schindhelm","1"
"U024RAF0F","sharijudy-kenefick","4"
"U024RCSUV","joek","13"
"U06EE7LUC","meekan","1"
"U079GEZEH","gkurtzman","1"
"U04L3L4LV","susanhealy","15"
"U0N6M9A20","carter","22"
"U03EAFJE5","veronica","190"
"U051YKBKG","pete-itsupport","1"
"U0F4ZCGJW","benjamincarp","1"
