"user id"," handle"," count"
"channel_archive","unknown","189"
"channel_purpose","unknown","353"
"undefined","unknown","137914"
"channel_leave","unknown","1368"
"file_share","unknown","8127"
"file_comment","unknown","1538"
"me_message","unknown","39"
"channel_name","unknown","84"
"bot_add","unknown","34"
"pinned_item","unknown","641"
"file_mention","unknown","26"
"channel_unarchive","unknown","3"
"channel_topic","unknown","46"
"bot_remove","unknown","12"
"sh_room_created","unknown","6"
"bot_enable","unknown","8"
"bot_disable","unknown","11"
"reminder_add","unknown","4"
