"user id"," handle"," count"
"aaaai-2016","unknown","0"
"acn-launch","unknown","0"
"adherence","unknown","0"
"adherence-dial","unknown","0"
"agent-double-zero","unknown","0"
"ahipplanning","unknown","0"
"airlvldeploy","unknown","0"
"ala-partnership","unknown","0"
"android-crashes","unknown","4"
"android-reviews","unknown","0"
"aptar-debug","unknown","0"
"ask-a-pharmacist","unknown","7"
"asthma","unknown","0"
"ata-planning","unknown","0"
"ats-2015","unknown","0"
"ats-2016","unknown","0"
"az-care-network","unknown","0"
"backchannel-healthadv","unknown","0"
"backchannel-jobshadow","unknown","0"
"barnacle","unknown","10"
"benefits-info","unknown","61"
"benefits-vendor-fb","unknown","0"
"bi-launch","unknown","27"
"ble","unknown","29"
"ble-2_0","unknown","0"
"ble-troubleshooting","unknown","0"
"bluefin","unknown","9"
"bluefin-id","unknown","10"
"borked-enroll","unknown","0"
"bothacks","unknown","0"
"box","unknown","0"
"bracket","unknown","0"
"brand","unknown","2"
"bucky","unknown","8"
"builds","unknown","8"
"builds-android-master","unknown","7"
"builds-android-ul","unknown","0"
"builds-ios-master","unknown","5"
"by-himself","unknown","0"
"c02s38yjv","unknown","0"
"california-love","unknown","0"
"camper-van","unknown","0"
"cch-sprint","unknown","0"
"client-accessphysicia","unknown","0"
"client-alexian-bros","unknown","20"
"client-amc","unknown","22"
"client-anthem-bayou","unknown","20"
"client-bakersfield","unknown","17"
"client-cbc","unknown","20"
"client-cleveland","unknown","14"
"client-dallaschildren","unknown","13"
"client-deanfreeasthma","unknown","0"
"client-dignity","unknown","0"
"client-esi","unknown","23"
"client-hopkins","unknown","5"
"client-jencare","unknown","23"
"client-kaiser","unknown","19"
"client-molina","unknown","25"
"client-montefiore","unknown","7"
"client-navitus","unknown","10"
"client-nemours","unknown","17"
"client-nyu","unknown","11"
"client-rady","unknown","11"
"client-sharp","unknown","20"
"client-st-marys-copd","unknown","18"
"client-try","unknown","16"
"client-uhc","unknown","22"
"client-uhg-northweste","unknown","9"
"client-uth","unknown","0"
"client-vri","unknown","3"
"client-welltok","unknown","22"
"client-woodland","unknown","29"
"client-wyckoff","unknown","0"
"clientreporting","unknown","0"
"clinical-hub","unknown","5"
"cm","unknown","9"
"cnc","unknown","6"
"competition","unknown","48"
"conference-ers2015","unknown","0"
"conference-ers2016","unknown","7"
"conference-planning","unknown","21"
"conference-rdd","unknown","7"
"conferences","unknown","0"
"controltower-sessions","unknown","25"
"copd-prediction-algo","unknown","0"
"copd9","unknown","0"
"css-chat","unknown","41"
"css-twilio-debug","unknown","0"
"csschat","unknown","0"
"cubs","unknown","3"
"customer-billing","unknown","13"
"cycling","unknown","10"
"d024jm994","unknown","0"
"d024k1es7","unknown","0"
"d024l7955","unknown","0"
"d024l7v7z","unknown","0"
"d02czfy22","unknown","0"
"d02da0hex","unknown","0"
"data-dignityclaims","unknown","8"
"data-infrastructure","unknown","16"
"data-monitoring","unknown","2"
"data-viz","unknown","15"
"data-weeklymetrics","unknown","25"
"data-weeklymetricsdev","unknown","0"
"datashare","unknown","36"
"data_marketing","unknown","0"
"debug-esi","unknown","2"
"debug-mdi-button","unknown","0"
"debug-multipuffevents","unknown","13"
"debug-push","unknown","3"
"debug_dulera","unknown","0"
"decks-and-docs","unknown","28"
"deleteme","unknown","0"
"demo-server","unknown","8"
"design","unknown","23"
"desk-cases","unknown","0"
"desk_com-project","unknown","0"
"ellipta-infoprotect","unknown","11"
"ellipta-regulatory","unknown","5"
"emoji","unknown","3"
"eng","unknown","57"
"eng-announce","unknown","45"
"eng-api","unknown","20"
"eng-devops","unknown","21"
"eng-integrations","unknown","13"
"eng-kibana","unknown","10"
"eng-mongodb","unknown","11"
"eng-support","unknown","47"
"eng-web","unknown","19"
"eng-welltok","unknown","0"
"engagement_index","unknown","11"
"facebook-ads","unknown","12"
"fail","unknown","1"
"fan_copd","unknown","0"
"fda-redaction-request","unknown","5"
"feature-10x","unknown","0"
"feature-add-event","unknown","0"
"feature-adherence_viz","unknown","2"
"feature-cards","unknown","0"
"feature-copd-monitor","unknown","0"
"feature-coppa","unknown","10"
"feature-diskus","unknown","0"
"feature-email","unknown","20"
"feature-fulfillment","unknown","11"
"feature-ga-uid","unknown","0"
"feature-group-create","unknown","0"
"feature-international","unknown","11"
"feature-iodine","unknown","3"
"feature-magiclink","unknown","0"
"feature-mobilerebrand","unknown","0"
"feature-nwo-builds","unknown","0"
"feature-optimizely","unknown","4"
"feature-patient-exp","unknown","8"
"feature-post-usages","unknown","0"
"feature-provider-exp","unknown","13"
"feature-puffs-adhere","unknown","12"
"feature-push-actions","unknown","8"
"feature-seaplane","unknown","34"
"feature-seaplane-act","unknown","15"
"feature-ship-notif","unknown","0"
"feature-shipping","unknown","0"
"feature-techlove","unknown","7"
"feature-translation","unknown","12"
"feature-userday-usage","unknown","0"
"feature-wake-sensor","unknown","0"
"feature-weekly-email","unknown","7"
"feedback","unknown","15"
"fierce-blast-aug2016","unknown","8"
"food","unknown","54"
"forecast-calculation","unknown","6"
"futbol","unknown","0"
"gaming","unknown","0"
"general","unknown","99"
"ghc","unknown","0"
"gif_tastic","unknown","5"
"github","unknown","10"
"google-drive","unknown","11"
"got","unknown","10"
"grants","unknown","0"
"gsk-ert-mdi-anoro-16","unknown","18"
"gsk-optum-trial-oct16","unknown","7"
"healthkit","unknown","0"
"helpouts","unknown","0"
"himss-2015","unknown","0"
"himss-2016","unknown","0"
"hiring","unknown","6"
"howto-sensor-parsing","unknown","0"
"hr-larry-dahl","unknown","0"
"iantest","unknown","3"
"inbound-leads","unknown","0"
"integrate-ecoa","unknown","3"
"integrate-ert-sensors","unknown","6"
"integrate-rady","unknown","4"
"internet-of-shit","unknown","15"
"interns","unknown","7"
"inventory","unknown","0"
"inventory-monitor","unknown","4"
"ios-builds","unknown","0"
"ios-crashes","unknown","11"
"ios-reviews","unknown","6"
"it_chatter","unknown","6"
"jellyfish","unknown","9"
"jellyfish-id","unknown","11"
"jenkins","unknown","0"
"jira-cleanup","unknown","0"
"kp-nor-cal-meeting","unknown","0"
"kpnc-business-case","unknown","0"
"krishnan","unknown","0"
"launch-cards","unknown","0"
"louisville","unknown","36"
"lvl-internal","unknown","24"
"lvl-prequal-testing","unknown","0"
"madison","unknown","60"
"marketing-b2b","unknown","37"
"marketing-b2c","unknown","32"
"marketing-claims","unknown","0"
"marketing-website","unknown","22"
"marketo-lead-feed","unknown","0"
"mayo","unknown","0"
"metrics","unknown","0"
"microwave","unknown","0"
"mobile-standup","unknown","0"
"monitoring","unknown","2"
"music","unknown","0"
"music-exchange","unknown","35"
"nemours-7_2_15-call","unknown","0"
"new-contracts","unknown","6"
"new_product_features","unknown","6"
"notifications","unknown","0"
"null","unknown","0"
"oldschooljams","unknown","0"
"oliverwymanconf16","unknown","7"
"onboarding","unknown","13"
"ops-hr-and-office","unknown","8"
"ops-hr-training","unknown","5"
"ops-inventory","unknown","22"
"ops-inventory-prekit","unknown","0"
"ops-logistics","unknown","3"
"ops-support","unknown","19"
"ops-support-metrics","unknown","6"
"otc","unknown","0"
"patents","unknown","6"
"payers","unknown","0"
"pharma-aptar","unknown","9"
"pharma-bi","unknown","26"
"pharma-bi-ae-report","unknown","8"
"pharma-bi-imshealth","unknown","9"
"pharma-chiesi-demo","unknown","7"
"pharma-novartis-brzhl","unknown","9"
"pingpong","unknown","0"
"pitch-navitus","unknown","9"
"pitch-new-leaf","unknown","0"
"pitch-unitedhealth","unknown","2"
"plos_louisville","unknown","4"
"podcasts","unknown","0"
"prequal","unknown","0"
"press","unknown","38"
"pricing","unknown","0"
"priv-sec","unknown","28"
"priv-sec_audit","unknown","0"
"priv-sec_authn","unknown","5"
"priv-sec_baa","unknown","14"
"priv-sec_box","unknown","16"
"priv-sec_breach","unknown","0"
"priv-sec_emails","unknown","5"
"priv-sec_eu","unknown","7"
"priv-sec_hitrust","unknown","5"
"privsec-bi","unknown","0"
"product-analytics","unknown","17"
"product-content","unknown","20"
"product-enroll","unknown","35"
"product-fb-ads","unknown","0"
"product-hsp","unknown","8"
"product-management","unknown","6"
"product-mobile","unknown","34"
"product-packaging","unknown","11"
"product-spp","unknown","28"
"product-suggestions","unknown","29"
"product-supportpage","unknown","9"
"product-surveys","unknown","10"
"product-webware","unknown","31"
"proj-novartis-showcas","unknown","5"
"project-dignity-copd","unknown","7"
"prop-sensor-test","unknown","0"
"puffer","unknown","9"
"pupdates","unknown","39"
"q-and-a","unknown","56"
"qa-android","unknown","31"
"qa-debug-tools","unknown","3"
"qa-engops","unknown","4"
"qa-enroll","unknown","20"
"qa-hsp","unknown","3"
"qa-hw","unknown","6"
"qa-ios","unknown","37"
"qa-spp","unknown","38"
"qa-webware","unknown","42"
"qa-welltok","unknown","8"
"qualcomm-cert-debug","unknown","0"
"qualcomm-connect-2014","unknown","0"
"qualcomm-connect-2015","unknown","0"
"qualcomm-hub","unknown","16"
"quality","unknown","0"
"quality_regulatory","unknown","16"
"qvar-gameplan","unknown","0"
"random","unknown","0"
"rdd-2016","unknown","0"
"rebranding-list","unknown","0"
"redsox","unknown","0"
"regulatory","unknown","0"
"research-programs","unknown","9"
"research2implement","unknown","0"
"reseller-sales-model","unknown","0"
"respiratory-research","unknown","45"
"river-test2","unknown","1"
"roadmap","unknown","0"
"rpi","unknown","4"
"running","unknown","13"
"rx-consent-module","unknown","0"
"sales","unknown","39"
"sales-alexian-brother","unknown","3"
"sales-anthem-texas","unknown","4"
"sales-banner","unknown","7"
"sales-bostonchildrens","unknown","7"
"sales-cloverhealth","unknown","6"
"sales-dignity-ent","unknown","8"
"sales-horizonbc","unknown","9"
"sales-ibm","unknown","3"
"sales-iehp","unknown","4"
"sales-jsa","unknown","3"
"sales-meridianhorizon","unknown","0"
"sales-newyork-state","unknown","8"
"sales-northwell","unknown","8"
"sales-optima_sentara","unknown","0"
"sales-sutter","unknown","5"
"sales-training","unknown","14"
"sales-uhc","unknown","13"
"sales2implementation","unknown","0"
"salesforce","unknown","19"
"sales_upmc","unknown","8"
"san_francisco","unknown","32"
"se-spp-dev","unknown","4"
"self-enrollment-flow","unknown","0"
"sensor-ccb","unknown","0"
"sensor-sandoz","unknown","9"
"sensors","unknown","22"
"sf-food","unknown","18"
"sf-lights","unknown","0"
"sf-plant-watering","unknown","0"
"sf-standup","unknown","0"
"sf-transit-alert","unknown","4"
"sf_office_search","unknown","5"
"shuffleboard","unknown","0"
"slackhate","unknown","0"
"slacklove","unknown","12"
"social","unknown","0"
"social-basketball","unknown","13"
"social-catan","unknown","12"
"social-coffee","unknown","7"
"social-ev","unknown","15"
"social-fantasy-sports","unknown","13"
"social-highscore","unknown","14"
"social-home-it","unknown","7"
"social-kiddos","unknown","24"
"social-lunchtime-talk","unknown","17"
"social-makingmurderer","unknown","0"
"social-marchmadness","unknown","12"
"social-project-fi","unknown","10"
"social-promposals","unknown","0"
"social-silicon-valley","unknown","8"
"social-skating","unknown","7"
