"user id"," handle"," count"
"100","unknown","18"
"1234","unknown","1"
"+1","unknown","4096"
"simple_smile","unknown","75"
"four_leaf_clover","unknown","186"
"blush","unknown","33"
"facepunch","unknown","56"
"propeller","unknown","480"
"camera","unknown","3"
"pineapple","unknown","325"
"information_desk_person","unknown","22"
"smiley","unknown","49"
"no_entry_sign","unknown","5"
"bug","unknown","25"
"dart","unknown","117"
"boom","unknown","813"
"palm_tree","unknown","12"
"-1","unknown","123"
"white_small_square","unknown","1"
"ok_hand","unknown","123"
"sunglasses","unknown","148"
"point_up","unknown","43"
"+1::skin-tone-4","unknown","39"
"baby","unknown","94"
"fire","unknown","92"
"newlike","unknown","225"
"email","unknown","5"
"snail","unknown","5"
"astonished","unknown","8"
"golden_sensor","unknown","596"
"see_no_evil","unknown","11"
"joy","unknown","647"
"raised_hands","unknown","345"
"chocolate_bar","unknown","8"
"construction","unknown","2"
"tropical_drink","unknown","4"
"muscle","unknown","340"
"mountain","unknown","1"
"thinking_face","unknown","32"
"question","unknown","6"
"mcduck","unknown","3"
"gun","unknown","15"
"white_check_mark","unknown","149"
"clap","unknown","419"
"crush","unknown","9"
"+1::skin-tone-2","unknown","17"
"disappointed","unknown","35"
"scream","unknown","59"
"heart","unknown","335"
"sweat_smile","unknown","26"
"cake","unknown","144"
"ribbon","unknown","3"
"bell","unknown","5"
"confetti_ball","unknown","100"
"bird","unknown","8"
"shamrock","unknown","9"
"firehead","unknown","7"
"easy","unknown","11"
"fda","unknown","3"
"facepalm","unknown","1"
"cry","unknown","171"
"smile","unknown","19"
"wrench","unknown","18"
"grey_question","unknown","4"
"fish","unknown","28"
"grinning","unknown","71"
"heavy_plus_sign","unknown","8"
"one","unknown","40"
"bucky","unknown","25"
"corn","unknown","10"
"neckbeard","unknown","6"
"tada","unknown","845"
"open_mouth","unknown","18"
"love_letter","unknown","3"
"dancer","unknown","55"
"unicorn","unknown","115"
"phone","unknown","8"
"snow_cloud","unknown","4"
"green_heart","unknown","15"
"heartpulse","unknown","9"
"metal","unknown","158"
"small_airplane","unknown","2"
"beer","unknown","79"
"moneybag","unknown","83"
"joy_cat","unknown","3"
"airplane","unknown","54"
"heart_eyes","unknown","58"
"pizza","unknown","34"
"ski","unknown","2"
"rabbit2","unknown","3"
"ear","unknown","2"
"gem","unknown","8"
"cheese_wedge","unknown","21"
"ghost","unknown","14"
"guardsman","unknown","2"
"squid","unknown","34"
"+1::skin-tone-3","unknown","5"
"timer_clock","unknown","7"
"sleuth_or_spy","unknown","20"
"white_frowning_face","unknown","15"
"skull_and_crossbones","unknown","2"
"flag-us","unknown","18"
"laughing","unknown","87"
"wink","unknown","7"
"cow","unknown","16"
"robot_face","unknown","10"
"keycap_ten","unknown","2"
"ambulance","unknown","3"
"star","unknown","47"
"guitar","unknown","11"
"puke","unknown","27"
"dog","unknown","86"
"incoming_envelope","unknown","2"
"heavy_dollar_sign","unknown","1"
"wine_glass","unknown","21"
"trophy","unknown","38"
"beers","unknown","261"
"eyes","unknown","26"
"dizzy_face","unknown","9"
"older_man","unknown","18"
"older_woman","unknown","8"
"godmode","unknown","27"
"grin","unknown","43"
"couch_and_lamp","unknown","4"
"chipmunk","unknown","1"
"flag-fr","unknown","5"
"partly_sunny_rain","unknown","2"
"thankyou","unknown","18"
"chart_with_upwards_trend","unknown","27"
