"user id"," handle"," count"
"U024JLC01","greg","990"
"U02CZ56CE","charles","1096"
"U03FBBDR5","kelly","491"
"U04L3JN1R","joe","141"
"U0558P307","vince","230"
"U03SFJV6P","lauren","672"
"U0NGZQ8TA","deb","103"
"U06LNDZ6Z","melissakim","482"
"U024LDYHL","meredith","255"
"U024JM990","david","123"
"U02A4MVC9","justin","180"
"U02C30RBR","sam","365"
"U024S151Z","eric.hoffman","10"
"U024RF9GX","ben","54"
"U024SSGTS","leah","720"
"U09TKR546","jonathan","114"
"U0MDCL9AS","jason","623"
"U024RDS6V","ruby","717"
"U043REQPY","scott.smith","269"
"U09TN5JQZ","molly","506"
"U04NW2QLP","nelson.fernandez","215"
"U0256MFQF","mikelohmeier","788"
"U0EKE3P89","shannon","888"
"U03SWRL6M","sarah","553"
"U024KQ3Q7","john","354"
"U02FFMKSA","vanna","675"
"U042EKF3V","chase","355"
"U1B2V3RD2","tony.clark","8"
"U024RMFT8","jesika","133"
"U024L794X","hubanks","350"
"U024SHZ2W","taylor","153"
"U024LNQDH","ian","320"
"U087AQUF7","edith","195"
"U02RKH9MD","jeff","53"
"U02H1NV68","ki","156"
"U0550NSFA","chelseafpc","3"
"U02AU8F33","antara","340"
"U02LGJTNQ","ambermarkey","302"
"U1Z85QV4H","soup","164"
"U0N6M9A20","carter","5"
"U0557G6CB","gloria","63"
"U030SDTRT","dmitry","306"
"U0D72CZ1V","solomon","542"
"U02DA0HEH","chris","263"
"U0E2XBAMP","tuffli","84"
"U197G0PPH","lucas","424"
"U03QD0N3J","melissa","161"
"U0G817TDZ","jennifer","1"
"U02KQ60T3","anurati","138"
"U02ATL4FX","river","213"
"U087AKRBJ","jim","73"
"U25694KAL","lorcharlie","77"
"U2D12S4KU","dunks","6"
"U1QK8MMJL","ryan","68"
"U06LZ3DF1","samantha","219"
"U047L83SQ","jasongrosz","102"
"U0PN1LFHR","dbogen","8"
"U02UPQ6QA","joef","54"
"U03C6MPB4","connor","24"
"U195ZPQ7M","jack.michuda","13"
"U11SZKW3E","paige","39"
"U15CCLRS9","eleanor","26"
"U025LMCHT","maidenberg","45"
"U024K1ES1","meaghan","3"
"U024L7M9S","olivier","27"
"U02J2DNPL","amy","2"
"U024RM3JY","mark","2"
"U024K1G7Z","kevin","1"
"U0HRG2GNS","anna","43"
"U02BBBA3Y","rebecca","1"
"U177F0ZGT","sean","21"
"U0G3BG7HQ","jayhughes","7"
"U1UTL75E0","annie","27"
"U27DCTVC2","aude","2"
"U03EAFJE5","veronica","1"
