"user id"," handle"," count"
"U024JM990","david","476"
"U024KQ3Q7","john","621"
"U02RKH9MD","jeff","174"
"U03SFJV6P","lauren","375"
"U06LNDZ6Z","melissakim","309"
"U024LDYHL","meredith","276"
"U02DA0HEH","chris","644"
"U0NGZQ8TA","deb","41"
"U03FBBDR5","kelly","154"
"U024RF9GX","ben","180"
"U02A4MVC9","justin","483"
"U024L794X","hubanks","914"
"U02LGJTNQ","ambermarkey","184"
"U024JLC01","greg","1733"
"U03SWRL6M","sarah","555"
"U0256MFQF","mikelohmeier","1155"
"U0EKE3P89","shannon","667"
"U09TN5JQZ","molly","467"
"U0MDCL9AS","jason","191"
"U0PN1LFHR","dbogen","168"
"U02C30RBR","sam","178"
"U024RDS6V","ruby","307"
"U024SSGTS","leah","304"
"U024RMFT8","jesika","119"
"U024LNQDH","ian","539"
"U02AU8F33","antara","403"
"U042EKF3V","chase","222"
"U0550NSFA","chelseafpc","22"
"U0558P307","vince","492"
"U024S151Z","eric.hoffman","18"
"U04L3JN1R","joe","251"
"U043REQPY","scott.smith","59"
"U02CZ56CE","charles","705"
"U0G3BG7HQ","jayhughes","19"
"U024K1G7Z","kevin","148"
"U02FFMKSA","vanna","224"
"U0D72CZ1V","solomon","174"
"U04NW2QLP","nelson.fernandez","72"
"U02KQ60T3","anurati","138"
"U0E2XBAMP","tuffli","150"
"U03QD0N3J","melissa","174"
"U0G817TDZ","jennifer","13"
"U030SDTRT","dmitry","567"
"U02J2DNPL","amy","2"
"U1B2V3RD2","tony.clark","7"
"U197G0PPH","lucas","137"
"U087AQUF7","edith","71"
"U02ATL4FX","river","157"
"U024SHZ2W","taylor","89"
"U0557G6CB","gloria","40"
"U09TKR546","jonathan","297"
"U06LZ3DF1","samantha","198"
"U087AKRBJ","jim","199"
"U025LMCHT","maidenberg","9"
"U02H1NV68","ki","241"
"U02UPQ6QA","joef","149"
"U1Z85QV4H","soup","126"
"U047L83SQ","jasongrosz","74"
"U25694KAL","lorcharlie","37"
"U1QK8MMJL","ryan","49"
"U195ZPQ7M","jack.michuda","15"
"USLACKBOT","unknown","21"
"U03C6MPB4","connor","14"
"U15CCLRS9","eleanor","28"
"U024K1ES1","meaghan","20"
"U04L3L4LV","susanhealy","2"
"U024L7M9S","olivier","54"
"U0N6M9A20","carter","12"
"U177F0ZGT","sean","49"
"U0HRG2GNS","anna","19"
"U03EAFJE5","veronica","28"
"U11SZKW3E","paige","2"
"U2D12S4KU","dunks","11"
"U1UTL75E0","annie","15"
