"user id"," handle"," count"
"U02A4MVC9","justin","9"
"U024L794X","hubanks","28"
"U024RF9GX","ben","7"
"U02LGJTNQ","ambermarkey","5"
"U03SWRL6M","sarah","7"
"U024JLC01","greg","33"
"U06LNDZ6Z","melissakim","6"
"U02AU8F33","antara","1"
"U0EKE3P89","shannon","7"
"U0558P307","vince","1"
"U024RDS6V","ruby","6"
"U02KQ60T3","anurati","1"
"U1B2V3RD2","tony.clark","1"
"U02CZ56CE","charles","16"
"U0E2XBAMP","tuffli","8"
"U087AKRBJ","jim","5"
"U030SDTRT","dmitry","9"
"U024LNQDH","ian","22"
"U02FFMKSA","vanna","2"
"U04NW2QLP","nelson.fernandez","2"
"U024KQ3Q7","john","10"
"U02RKH9MD","jeff","8"
"U0256MFQF","mikelohmeier","39"
"U0PN1LFHR","dbogen","12"
"U024SSGTS","leah","8"
"U02ATL4FX","river","4"
"U042EKF3V","chase","3"
"U0D72CZ1V","solomon","6"
"U09TKR546","jonathan","5"
"U0G817TDZ","jennifer","1"
"U02DA0HEH","chris","2"
"U03SFJV6P","lauren","3"
"U02H1NV68","ki","1"
"U0MDCL9AS","jason","2"
"U047L83SQ","jasongrosz","2"
"U024LDYHL","meredith","3"
"U04L3JN1R","joe","9"
"U0NGZQ8TA","deb","3"
"U024JM990","david","12"
"U09TN5JQZ","molly","1"
"U06LZ3DF1","samantha","1"
"U177F0ZGT","sean","5"
"U1Z85QV4H","soup","2"
"U1QK8MMJL","ryan","1"
"U0G3BG7HQ","jayhughes","1"
"U024SHZ2W","taylor","1"
"U024S151Z","eric.hoffman","1"
"U02C30RBR","sam","2"
"USLACKBOT","unknown","1"
