"user id"," handle"," count"
"U024RDS6V","ruby","39"
"U024JLC01","greg","12"
"U024L5T35","ejodonohoe","3"
"U024L794X","hubanks","4"
"U042EKF3V","chase","11"
"U024L7V7F","erica","7"
"U024RM3JY","mark","3"
"U04L3JN1R","joe","7"
"U197G0PPH","lucas","1"
"U024SSGTS","leah","1"
"U09TN5JQZ","molly","2"
"U030SDTRT","dmitry","3"
"U024LNQDH","ian","70"
"U0256MFQF","mikelohmeier","8"
"U02RKH9MD","jeff","13"
"U02HWD5M7","joshua","13"
"U02ATL4FX","river","25"
"U02KQ60T3","anurati","22"
"U024RF9GX","ben","2"
"U0MDCL9AS","jason","4"
"U1Z85QV4H","soup","4"
"U0PN1LFHR","dbogen","3"
"U02A4MVC9","justin","10"
"U02CZ56CE","charles","50"
"U02UPQ6QA","joef","17"
"U024K1G7Z","kevin","5"
"U024RU2KB","derek_schindhelm","1"
"U024STHR7","hytham","46"
"U024K1ES1","meaghan","14"
"U024LDYHL","meredith","1"
"U02C30RBR","sam","16"
"U024KQ3Q7","john","11"
"U024JM990","david","2"
"U0265DB9Z","jacque","3"
"U02H1NV68","ki","26"
"U02AU8F33","antara","3"
"U025LMCHT","maidenberg","6"
"U02DA0HEH","chris","2"
"U0EKE3P89","shannon","8"
"U087AKRBJ","jim","1"
"U03EAFJE5","veronica","1"
"U03QD0N3J","melissa","2"
"U02FFMKSA","vanna","3"
"U02LGJTNQ","ambermarkey","2"
"U0418RF2C","jimmi","1"
"U0557G6CB","gloria","1"
"U043REQPY","scott.smith","3"
"U0D72CZ1V","solomon","3"
"U06LNDZ6Z","melissakim","7"
"U02J2DNPL","amy","1"
"U03SWRL6M","sarah","2"
"U02JZ0DL0","chris.yu","1"
"U04NW2QLP","nelson.fernandez","1"
"U03C6MPB4","connor","1"
"U06LZ3DF1","samantha","1"
"U09TKR546","jonathan","2"
"U087AQUF7","edith","2"
"U047L83SQ","jasongrosz","1"
